0,multiplicand,multiplier,accurate result,approximate result,accuracy
127,187274,90808,17005977392,16995593560,0.999389027987558
128,4967304,5561164,27623992181856,26932506035296,0.974325220770255
129,324695,1538372,499501696540,498417443356,0.997824608270731
130,2396716,2425632,5813551024512,4713771560000,0.7666880012081027
131,6269378,3033411,19017600188358,18996030523334,0.9988645172475636
132,2816976,2738440,7714119757440,7642649550272,0.9906485039386038
133,7506624,6404919,48079318683456,46979663774784,0.9765929591590174
134,2816306,6451348,18168970080488,18031267134824,0.9923631021250829
135,233560,6051626,1413417768560,1412721059528,0.9995068318495707
136,4394208,6549853,28781416451424,28781413252960,0.9999998888705022
137,2883613,7401546,21343194265698,21342622529407,0.9999732115258932
138,410561,2863494,1175638960134,1173470006275,0.9981516750769923
139,2735326,830574,2271890657124,2253548082370,0.9918605798130078
140,3464318,272917,945471275606,919682236502,0.9719587504461451
141,5213771,5004204,26090773693284,26090507015012,0.9999897787240453
142,1608297,3935210,6328986437370,6328920936803,0.9999896505948401
143,4773859,5400276,25780156185084,25623122025980,0.9938713885472357
144,3135151,2054654,6441650542754,6441656372305,0.9999990950229781
145,4134423,3393052,14028312228996,14028308844052,0.9999997587061963
146,908265,8166585,7417423325025,7416814307077,0.9999178868550856
147,3921073,2813704,11032738784392,11032737691468,0.9999999009380962
148,3093555,534400,1653195792000,1653196541760,0.9999995464786061
149,6313663,6596406,41647484495178,41641510753549,0.9998565435902564
150,424585,7535654,3199525653590,3130805929291,0.9780504682017891
151,951205,2925314,2782573303370,2746020522479,0.9866888172933239
152,2117686,2170749,4596964766814,4528250046174,0.9848253254702535
153,1923657,1352835,2602390517595,2499222837659,0.9587200955507288
154,3646618,2325074,8478656699732,8474299455470,0.9994858283820514
155,4618968,3107356,14352777928608,14351710292512,0.9999256091382671
156,6408676,4638653,29727624153428,29727226247508,0.9999866147646375
157,111520,7990094,891055282880,883251351136,0.9911645402704871
158,1554138,6995113,10871370927594,8121527216466,0.6614129783924351
159,7396817,6802895,50319769385215,50290630322175,0.9994205866410238
160,1807344,1348103,2436485868432,2436193946576,0.999880172981954
161,431932,167634,72406488888,72126361204,0.9961161539370094
162,3038803,1100223,3343360953069,3343228503021,0.9999603825918928
163,2188729,1094815,2396253340135,2396224177303,0.9999878296729178
164,5504519,3777967,20795891132873,20656269529801,0.9932407154704015
165,5890041,667309,3930477369669,3930200086853,0.9999294481680646
166,5253713,4832316,25387601389308,25380956759804,0.9997382041360031
167,7305363,8255499,60309416941137,60309426332241,0.9999998442846405
168,2037600,5493699,11193961082400,10641504136736,0.9480846938021816
169,121041,5399435,653553011835,635091259579,0.9709305521410604
170,968061,6636214,6424259961054,6422772535399,0.999768413773522
171,5697642,2031863,11576827967046,11576828245150,0.9999999759775308
172,3603632,7205714,25966741553248,25893995265296,0.9971906116763103
173,5879963,970850,5708562078550,5708518241505,0.9999923207664151
174,225618,7573287,1708669866366,1708685975894,0.9999905719785688
175,4804765,2649389,12729691538585,10255455659161,0.7587395468660807
176,1075307,6188151,6654162087357,6653763907921,0.9999401572641425
177,8149347,6804251,55450202474097,55443728461889,0.999883232740878
178,5709827,6300697,35975889849419,35907109207079,0.9980844839960985
179,4994367,6468388,32305503570396,32087054998988,0.993192003086139
180,3253864,2394156,7790258018784,7733856401888,0.9927071807433312
181,5606376,3742929,20984267315304,20984265316456,0.9999999047453905
182,500880,8180378,4097387732640,4088653504048,0.9978637885104833
183,1935172,5579510,10797311525720,10786169068940,0.9989669680950871
184,5936632,2856179,16956083649128,16951460772456,0.999727287415872
185,7420039,2709298,20103096822622,19633572218853,0.9760856252476489
186,5199910,8080747,42019157132770,42013899684706,0.9998748640782347
187,3354670,6380115,21403180387050,21381711468778,0.9989959214301741
188,1234601,4097601,5058902292201,5058348792809,0.9998905770608807
189,6140332,2372063,14565254344916,14528716859924,0.9974851540336102
190,2157717,7044016,15198993071472,14751873629552,0.9696906675620988
191,2605549,6187329,16121388888621,15846496921133,0.9826528242263183
192,4131504,7502437,30996348475248,30979021063792,0.9994406727242827
193,7845261,5382747,42229055111967,40909207258959,0.9677371442410692
194,6802643,4684018,31863702259574,31863435550793,0.9999916296288711
195,7418776,3748112,27806403350912,27737153294720,0.9975033466680525
196,3289111,6641914,21845992398454,20694951459469,0.9443805924725501
197,6120297,7709015,47181461377455,44700922205195,0.9445080984935089
198,2031465,3513327,7137200834055,7128333727239,0.9987560758018221
199,715538,2145347,1535077301686,1535079398838,0.9999986338478638
200,4243051,3478908,14761184068308,14760899930132,0.999980750619722
201,4288016,4534,19441864544,19405006064,0.9981005684884386
202,667677,2855208,1906356711816,1901964226044,0.9976905528969195
203,7044779,2460719,17335221536101,15088747054437,0.8511159028937793
204,2433360,7102697,17283418771920,16733651785488,0.9671460244613924
205,5148106,8340306,42936779360436,42935714948734,0.9999752091771787
206,6518281,4488711,29258679625791,29258703083803,0.999999198255236
207,3106716,6201851,19267389731316,18992517207540,0.9855273252738255
208,6630074,853382,5657985810268,5648874754990,0.9983871026225264
209,1405455,3891200,5468906496000,5434557059072,0.9936794412949147
210,6000656,1583500,9502038776000,9502051634368,0.9999986467798224
211,6401265,324123,2074797215595,2066065863003,0.9957739234027568
212,4259652,6874921,29284770987492,28940871293428,0.9881171616922918
213,4821852,6982624,33669179499648,33393218427456,0.9917360145206877
214,5829795,4915230,28654783277850,28636945536397,0.9993771074002872
215,5310951,7819532,41529151294932,41527012462036,0.9999484953824224
216,5953232,6757619,40229673674608,40229385512816,0.9999928370322259
217,1286405,2725578,3506197167090,2951689185527,0.8121387630235881
218,2752501,3034543,8352582642043,8065876079739,0.9644543804703137
219,4925150,3901949,19217684117350,19215522713958,0.999887517845641
220,4101503,7734298,31722246449894,31720117332085,0.9999328779970543
221,8267702,5323212,44010730498824,43458658848008,0.9872966247590196
222,4307620,7825360,33708677243200,33413004415296,0.9911509655274027
223,8167634,3936636,32153002039224,32152462533432,0.9999832203896843
224,5368245,3041192,16325863748040,16325838836892,0.9999984741275318
225,6769503,1437091,9728391835773,9727010883437,0.9998580291157737
226,1127912,579364,653471607968,643226741536,0.9840726982097546
227,4357373,8203742,35746763889766,35745809534099,0.9999733016071132
228,4267118,2085710,8899970683780,8895677886450,0.9995174288699753
229,1143733,2395929,2740303062957,2666553293617,0.9723426606486595
230,1698873,57258,97274070234,97279729939,0.9999418203051802
231,7185188,6000698,43116143261224,42978431064396,0.9967957835263539
232,3943911,1535102,6054305663922,6028268142553,0.9956807625750415
233,2994176,1688575,5055890739200,5055890739200,1.0
234,425806,3799082,1617671910092,1583151327770,0.9781950204528931
235,4472064,2662763,11908046552832,11873378057984,0.997080148995619
236,1382220,2264555,3130113212100,2833638503108,0.8953731364580133
237,5716487,4016084,22957891976908,22957893542604,0.9999999318014087
238,3891012,6346845,24695650057140,24686741542772,0.9996391376985673
239,7107263,6729034,47825014373942,45549446148085,0.9500418025181043
240,2969508,8347268,24787279104144,24784063754640,0.9998702654441244
241,1775891,5631939,10001709782649,9451952723577,0.9418366685541408
242,1703968,3730576,6356782125568,6339314948608,0.9972446270454136
243,2230801,3309352,7382505750952,7382356126188,0.9999797321124255
244,4635634,3684591,17080415315694,17078263099118,0.9998739791884275
245,1385689,6244169,8652476297441,8652426829893,0.9999942828123285
246,5412059,2543263,13764289408517,13622534510357,0.9895940877923836
247,4143806,5670474,23497344184044,21832923148202,0.9237655432328552
248,1206550,5260825,6347448403750,6338873661470,0.9986472766712294
249,2707255,8081840,21879601749200,21793432970704,0.9960461126701868
250,7975589,5211193,41562333567677,41527966491985,0.9991724353828249
251,5271210,1551642,8179030826820,8170417857358,0.9989458348872275
252,4584440,4333002,19864387688880,19864119940520,0.9999865210056724
253,7679746,6724381,51641538087226,51624090596634,0.999662028126978
254,162805,69435,11304365175,11304103031,0.9999768098362797
255,2543182,3625838,9221165936516,8039112116562,0.8529621427323101
256,8091656,8200980,66359509022880,66288096180384,0.9989226897948363
257,4480096,332908,1491459799168,1491449897088,0.9999933607692626
258,5860094,760031,4453853102914,4453721303906,0.9999704069924886
259,842152,8322638,7008926236976,7008924566232,0.9999997616261975
260,2485840,630494,1567307204960,1567297049008,0.9999935200847814
261,897395,2238886,2009165101970,1962833074025,0.9763953295070623
262,3056669,5506776,16832391489144,16830986371356,0.9999165160165306
263,1871500,5268326,9859672109000,9859492890852,0.9999818227823698
264,5187848,2690814,13959534028272,11760249622264,0.8129899894433865
265,8362716,6906139,57754079113524,57753310053236,0.9999866837019854
266,2740008,571184,1565048729472,1416191004544,0.894888666535535
267,3155634,3426724,10813486763016,10812124564776,0.9998740119731475
268,6452734,1460455,9423927633970,9423763564570,0.9999825898221155
269,7380653,2601549,19201130431497,19196495376649,0.999758546820289
270,3122206,4809504,15016262245824,14741261172640,0.9813448069358945
271,7567417,6676804,50526160095268,49976380856356,0.9889992186410578
272,2113273,232230,490765388790,486191333019,0.9905920664142706
273,2564814,8332658,21371717895612,21337232376842,0.9983837866991865
274,4108315,3561445,14631537915175,14619724237527,0.9991919356715583
275,1370377,8163427,11186972601979,11152612244683,0.9969190754110203
276,919573,3443514,3166562499522,3155528541143,0.9965032931139316
277,3729814,1902810,7097127377340,7095985254898,0.9998390466720303
278,4255063,7142032,30389796108016,30114523630768,0.9908591455530529
279,7220309,4400626,31773879513434,31704486271151,0.9978112484873743
280,3241924,260513,844563347012,843476941444,0.9987119913839729
281,7952653,4705607,37422059625371,37420949583719,0.9999703363579934
282,2520613,4331266,10917445386058,10908846199151,0.999211723517775
283,2365670,2978044,7045069349480,7027818537576,0.9975453532541052
284,3635426,7008524,25478970371224,25478978759832,0.9999996707635703
285,3712333,3564224,13231586374592,13053850289088,0.9863843937560266
286,3708588,6276200,23275840005600,23271544821136,0.999815431914941
287,7478764,441505,3301911699820,3301901335596,0.9999968611345565
288,6120770,7646041,46799658371570,44459959143130,0.9473751376849492
289,5452630,1687503,9201329482890,9201319128202,0.9999988746517912
290,4207524,950149,3997774721076,3997766850868,0.9999980313489272
291,5063868,4713771,23869914126228,23869713848212,0.9999916095342712
292,5610597,7223091,40525852695327,39964212934431,0.9859464325791307
293,6688099,6648260,44464221057740,42247196495820,0.9475225637246875
294,7573955,1531523,11599686283465,11530693929353,0.9940166346852404
295,7427102,8314186,61750307468972,61741594797514,0.9998588848978298
296,7954695,2858137,22735608103215,22692269999771,0.9980901820997001
297,7465544,7454142,55649225083248,55648692382648,0.9999904274372462
298,1377135,5024407,6919286733945,6908401256061,0.9984243130240228
299,214897,726218,156062069546,87204387483,0.21038741225694157
300,4985156,2498225,12454041348100,10250594658308,0.785042062120159
301,4435567,735147,3260793773349,3190396985637,0.9779347874170761
302,2264068,1487736,3368335470048,3295310355696,0.9778396853498867
303,7107087,255688,1817196860856,1817197539828,0.9999996263631306
304,4217527,2825918,11918385464786,11771762356361,0.9875445065924415
305,1999822,2644189,5287907334358,5266367590390,0.9959099429353725
306,1597845,1634203,2611203092535,2611153828903,0.9999811333857643
307,6260922,7350020,46017901918440,46017898295528,0.9999999212716761
308,5733843,1129337,6475441052091,6466054102087,0.9985482722761366
309,56066,5313118,297885273788,297609378718,0.9990729624476605
310,630027,3015806,1900039206762,1900033790389,0.9999971493280659
311,2899542,2743516,7954939869672,6783860077704,0.8273726494128469
312,1989077,5603476,11145745231652,10595816842340,0.9480994813807528
313,909572,2231716,2029906385552,2029155657424,0.9996300293054141
314,2651303,5125559,13589409953377,13550187969733,0.9971054288153338
315,4236669,919231,3894477481539,3894190633539,0.9999263395074885
316,2143869,4279878,9175497767982,9175503197623,0.9999994082459694
317,2965970,6982652,20710336352440,20707936456888,0.9998841074504455
318,1625464,3388858,5508466680112,5366180886184,0.973484719030934
319,4557012,1217454,5547952487448,5547692082412,0.9999530606543889
320,1843093,3353470,6180757082710,6143940807851,0.9940077100332811
321,6019829,2235729,13458706270341,12908670859397,0.957390236614206
322,4828742,4554325,21991660409150,21991662294846,0.9999999142540489
323,4725492,4132646,19528785611832,19528473225884,0.9999840035652359
324,8348806,7950258,66375161691948,66364442579378,0.999838481087863
325,2038067,3913164,7975290413988,7974349234340,0.9998819741122013
326,1286536,1681370,2163143034320,2025645616856,0.9321216819369376
327,4879298,4887126,23845744117548,23840245968358,0.9997693753161231
328,6296612,7850658,49432547370696,49380775902508,0.9989515865791535
329,8198496,7847232,64335500163072,64335206561792,0.999995436382415
330,2719220,1278795,3477324939900,3477122105980,0.9999416661498165
331,104811,773393,81060093723,81034927899,0.9996894447289276
332,3274042,269354,881876308868,881806993598,0.9999213940573127
333,5495242,4015031,22063566982502,22062454482494,0.9999495749664262
334,7696896,2083921,16039723209216,16031131177472,0.9994640408310005
335,7015209,3488442,24472149714378,24332368965875,0.9942553580089536
336,4808790,5672605,27278366197950,27278101909726,0.9999903113411309
337,6057298,2180041,13205157989218,13205167276202,0.9999992967159139
338,579217,2930335,1697299847695,1588669337919,0.9316216992528507
339,725426,3794975,2752973534350,2752980586862,0.9999974382267591
340,6903672,3998292,27602896528224,27602499607392,0.9999856201127563
341,2279780,725102,1653073037560,1584360929628,0.9566310260199782
342,845526,6010181,5081764300206,5047398008238,0.9931912855075209
343,4816161,5947411,28643688909171,28565841578355,0.9972748105249247
344,6103312,3549227,21662039739824,19428477423024,0.8850366774416875
345,4284866,6432111,27560733732126,26942057487518,0.9770367855203848
346,8056109,3866428,31148365408652,31147291666828,0.9999655269602415
347,4741877,7155236,33929249017972,33788238394564,0.9958266358322283
348,3763452,923069,3473925874188,3472291046924,0.9995291790803515
349,6720816,8066209,54211506506544,54209296162352,0.9999592257352802
350,6723238,3068580,20630793662040,20630393723064,0.9999806140890296
351,6958034,6539927,45505034423518,45418539634966,0.9980956061280885
352,3047703,2692963,8207351413989,7101139315861,0.8442204766132132
353,3733098,5367393,20037004073514,20030417582154,0.99967117553426
354,7035601,5015677,35288302116877,34733583904717,0.9840293413521124
355,2104064,5166895,10871477761280,10871197431040,0.9999742134901166
356,2369408,7336812,17383901047296,17381408983552,0.99985662475658
357,7486293,8380094,62735839051542,62735847238251,0.9999998695050858
358,6040010,3713739,22431020697390,22395555759918,0.9984164296768436
359,567983,1567125,890100358875,889570482075,0.9994043453434246
360,8017691,2446474,19615072571534,19471599586921,0.9926316795919853
361,6418903,7652359,49119750142177,49117480513925,0.9999537918429803
362,4917544,7374454,36264202020976,36264175487736,0.9999992683346679
363,562674,7323013,4120469016762,4110823136058,0.9976535403288477
364,5842018,6189306,36158037059508,36123652328470,0.9990481380253209
365,5115393,6717347,34361869822371,31870723619251,0.9218359070574957
366,2943848,4665858,13735576741584,13734156466744,0.9998965881273132
367,5867439,4755067,27900065563413,27887127021141,0.9995360388948568
368,3622701,3589429,13003428027729,12453068954961,0.9558053460750532
369,5467823,4733034,25879392164982,25879231634021,0.9999937969193494
370,7429164,6682665,49646614242060,49078064415676,0.9884153983423519
371,7888881,7189494,56717062616214,56536110208195,0.9967993481095067
372,3897617,3638570,14181752287690,14181420657371,0.9999766151553492
373,4426077,2859954,12658376620458,12383412032263,0.9777957329144323
374,7676560,4072781,31264947713360,31264938603856,0.9999997086351546
375,7886831,1555794,12270284348814,12269961047421,0.999973650984567
376,7248784,409151,2965847222384,2828390152304,0.9514009515384475
377,1596108,1633912,2607900014496,2607649766352,0.9999040330694601
378,634238,5477536,3474061477568,3464921685664,0.9973621938002768
379,311924,7401170,2308602551080,2308059700636,0.9997648022519303
380,7624621,5668700,43221689062700,42102778272348,0.9734243003368053
381,599712,7448894,4467191118528,4445716521312,0.9951695981709462
382,5460321,1207338,6592453035498,6592433903435,0.9999970978756435
383,1878526,3722934,6993628315284,6993621893274,0.9999990817333139
384,2310964,2804481,6481054629684,6201069109044,0.9548488307876375
385,6384417,2410631,15390473537127,15370987693603,0.9987322972399418
386,3907068,3669381,14336521084908,14335453209324,0.9999255080695109
387,705905,5542447,3912441049535,3912074027711,0.9999061822906724
388,4734111,5664738,26817498477918,26813048667117,0.9998340430864
389,3108623,6718636,20885706398228,20816172685844,0.9966596303060415
390,514788,6200626,3192007857288,3190394261100,0.9994942329831538
391,1486113,4605457,6844229518641,6844171690545,0.9999915507531641
392,377076,230241,86818355316,86812510900,0.9999326777219157
393,2568480,7180899,18443995463520,17892257835360,0.9691633312443321
394,6781945,8049326,54590086219070,54588477112631,0.9999705229652097
395,7908181,5176077,40933353785937,40923555891793,0.999760580576871
396,2287000,3483069,7965778803000,7893401067832,0.9908306021009168
397,6131269,6117566,37508442771254,36402453176699,0.9696177180920615
398,1170702,1220057,1428323170014,1418658392118,0.9931873818604274
399,5525747,6161100,34044679841700,34044675844004,0.9999998825750018
400,5947658,532100,3164748821800,3164745127848,0.9999988327805713
401,3515127,954975,3356858406825,3356304138041,0.9998348574023082
402,2294610,7601615,17442741795150,16340017112910,0.9325138600149474
403,7257426,5853318,42480022239468,41366793868662,0.9730888409108895
404,405105,6470226,2621120903730,2537872626083,0.9671976139419232
405,2041455,5771841,11782953668655,11782948585263,0.9999995685806516
406,6803476,460556,3133381692656,3064652758256,0.9775736633734937
407,7588004,6069827,46057871555308,45575455629036,0.9894150059584998
408,3208963,3500150,11231851844450,11224608946585,0.999354730494446
409,5764754,6701424,38632060809696,38630851562848,0.9999686973804853
410,8185133,6108647,50000088145051,49862072839607,0.9972320584046324
411,5863522,1380130,8092422617860,8092404595078,0.9999977728768021
412,6675049,2838572,18947607190028,18801578301964,0.9922331579977652
413,53267,6093120,324562223040,324563291072,0.9999967093259485
414,7870044,6746217,53093024623548,53088706243628,0.9999186572771206
415,7514183,8205741,61659439524603,61589583897595,0.998865788294265
416,7267331,5602027,40711784479937,38460953132225,0.9414774943310983
